,sent_id,corresToken,orig_label,predicted_tag
53,5440,19,DEF^NN,^DEF^NN^DEF^NN^DEF^NN
54,5440,20,yyDOT,^yyDOT
55,5441,1,RB,^RB
56,5441,2,MD,^MD^MD^MD
57,5441,3,REL^NN,^REL^NN^REL^NN^REL^NN
58,5441,4,VB,^VB^VB^VB
59,5441,5,PREPOSITION^DEF^NN,^PREPOSITION^DEF^NN^PREPOSITION^DEF^NN^PREPOSITION^DEF^NN^PREPOSITION^DEF^NN
60,5441,6,CC,^CC
61,5441,7,REL^PRP,^REL^PRP
62,5441,8,BN,^BN
63,5441,9,PREPOSITION^NNT,^PREPOSITION^NNT^PREPOSITION^NNT
64,5441,10,NNP,^NNP^NNP^NNP
65,5441,11,yyDOT,^yyDOT
66,5442,1,RB,^RB
67,5442,2,MD,^MD^MD^MD
68,5442,3,REL^PRP,^REL^PRP
69,5442,4,VB,^VB^VB^VB
70,5442,5,IN,^IN
71,5442,6,DEF^NN,^DEF^NN^DEF^NN
72,5442,7,CONJ^VB,^CONJ^VB^CONJ^VB^CONJ^VB^CONJ^VB
73,5442,8,IN,^IN
74,5442,9,DEF^NN,^DEF^NN^DEF^NN^DEF^NN
75,5442,10,POS^S_PRN,^POS^S_PRN^POS^S_PRN
76,5442,11,yyCM,^yyCM
77,5442,12,IN,^IN^IN
78,5442,13,REL^VB,^REL^VB^REL^VB
79,5442,14,yyCLN,^yyCLN
80,5442,15,PRP,^PRP
81,5442,16,BN,^BN^BN
82,5442,17,yyDOT,^yyDOT
83,5443,1,CC,^RB
84,5443,2,VB,^VB^VB
85,5443,3,NN,^NN^NN^NN
86,5443,4,REL^MD,^REL^MD^REL^MD^REL^MD
87,5443,5,COP,^COP
88,5443,6,NN,^NN^NN
89,5443,7,JJ,^JJ^JJ^JJ^JJ
90,5443,8,IN,^IN
91,5443,9,DEF^NN,^DEF^NN^DEF^NN^DEF^NN
92,5443,10,IN,^IN
93,5443,11,NN,^NN^NN^NN^NN^NN^NN
94,5443,12,yyQUOT,^yyQUOT
95,5443,13,yyDOT,^yyDOT
96,5444,1,PREPOSITION^NNT,^PREPOSITION^NNT
97,5444,2,DEF^NN,^DEF^NN^DEF^NN^DEF^NN^DEF^NN
98,5444,3,VB,^VB^VB^VB
99,5444,4,DEF^NN,^DEF^NN^DEF^NN
100,5444,5,yyDOT,^yyDOT
101,5445,1,DEF^NN,^DEF^NN^DEF^NN^DEF^NN^DEF^NN
102,5445,2,VB,^VB^VB
103,5445,3,NN,^NN^NN^NN
104,5445,4,CONJ^VB,^CONJ^VB^CONJ^VB
105,5445,5,PREPOSITION^NNP,^PREPOSITION^NNP^PREPOSITION^NNP^PREPOSITION^NNP^PREPOSITION^NNP
106,5445,6,NN,^NN^NN
107,5445,7,PREPOSITION^DEF^NN,^PREPOSITION^DEF^NN^PREPOSITION^DEF^NN^PREPOSITION^DEF^NN
108,5445,8,DEF^JJ,^DEF^JJ^DEF^JJ^DEF^JJ^DEF^JJ
109,5445,9,yyDOT,^yyDOT
110,5446,1,RB,^RB
111,5446,2,DEF^NN,^DEF^NN^DEF^NN^DEF^NN
112,5446,3,BN,^BN^BN
113,5446,4,IN,^IN
114,5446,5,DEF^NN,^DEF^NN
115,5446,6,RB,^RB
116,5446,7,PREPOSITION^QW,^PREPOSITION^QW^PREPOSITION^QW
117,5446,8,REL^PRP,^REL^PRP
118,5446,9,BN,^BN^BN
119,5446,10,IN,^IN
120,5446,11,DTT,^DTT
121,5446,12,NNT,^NNT^NNT
122,5446,13,NN,^NN^NN^NN^NN
123,5446,14,JJ,^JJ^JJ
124,5446,15,JJ,^JJ
125,5446,16,yyDOT,^yyDOT
126,5447,1,NN,^NN^NN
127,5447,2,JJ,^JJ^JJ
128,5447,3,POS,^POS
129,5447,4,DEF^NN,^DEF^NN^DEF^NN
130,5447,5,PREPOSITION^NN,^PREPOSITION^NN^PREPOSITION^NN^PREPOSITION^NN^PREPOSITION^NN
131,5447,6,BN,^BN^BN^BN
132,5447,7,CC,^CC
133,5447,8,CD,^CD
134,5447,9,NN,^NN
135,5447,10,CD,^CD
136,5447,11,NN,^NN
137,5447,12,PREPOSITION^DEF^NN,^PREPOSITION^DEF^NN^PREPOSITION^DEF^NN^PREPOSITION^DEF^NN
138,5447,13,MD,^MD^MD^MD
139,5447,14,VB,^VB^VB^VB
140,5447,15,NN,^NN^NN
141,5447,16,POS,^POS
142,5447,17,NN,^NN
143,5447,18,PREPOSITION^DEF^NN,^PREPOSITION^DEF^NN^PREPOSITION^DEF^NN^PREPOSITION^DEF^NN^PREPOSITION^DEF^NN
144,5447,19,yyDOT,^yyDOT
145,5448,1,IN,^IN
146,5448,2,yyDASH,^yyDASH
147,5448,3,CC,^CC
148,5448,4,NN,^NN^NN^NN
149,5448,5,PRP,^PRP
150,5448,6,RB,^RB
151,5448,7,DEF^NN,^DEF^NN^DEF^NN^DEF^NN^DEF^NN
152,5448,8,BN,^BN^BN
153,5448,9,RB,^RB
154,5448,10,IN,^IN
155,5448,11,VB,^VB^VB^VB
156,5448,12,AT,^AT
157,5448,13,NN,^NN^NN
158,5448,14,POS,^POS
159,5448,15,DEF^NN,^DEF^NN^DEF^NN^DEF^NN
160,5448,16,yyDOT,^yyDOT
161,5449,1,MD,^MD
162,5449,2,VB,^VB^VB
163,5449,3,REL^PRP,^REL^PRP
164,5449,4,BN,^BN^BN^BN
165,5449,5,IN,^IN
166,5449,6,DEF^NN,^DEF^NN^DEF^NN^DEF^NN
167,5449,7,PREPOSITION^NN,^PREPOSITION^NN^PREPOSITION^NN
168,5449,8,CONJ^PREPOSITION^NN,^CONJ^PREPOSITION^NN^CONJ^PREPOSITION^NN^CONJ^PREPOSITION^NN
169,5449,9,yyCM,^yyCM
170,5449,10,PREPOSITION^NN,^PREPOSITION^NN^PREPOSITION^NN^PREPOSITION^NN
171,5449,11,POS,^POS
172,5449,12,CDT,^CDT
173,5449,13,NNT,^NNT^NNT
174,5449,14,NN,^NN^NN^NN
175,5449,15,yyCM,^yyCM
176,5449,16,IN^S_PRN,^IN^S_PRN
177,5449,17,NNT,^NNT^NNT
178,5449,18,NN,^NN^NN
179,5449,19,yyDOT,^yyDOT
180,5450,1,NNP,^NNP^NNP
181,5450,2,NNP,^NNP^NNP
182,5450,3,BN,^BN^BN
183,5450,4,REL^DEF^NN,^REL^DEF^NN^REL^DEF^NN^REL^DEF^NN^REL^DEF^NN
184,5450,5,COP,^COP
185,5450,6,BN,^BN^BN^BN
186,5450,7,PREPOSITION^NNT,^PREPOSITION^NNT^PREPOSITION^NNT^PREPOSITION^NNT
187,5450,8,NN,^NN^NN^NN
188,5450,9,yyDOT,^yyDOT
189,5451,1,PRP,^PRP
190,5451,2,BN,^BN^BN
191,5451,3,PRP,^PRP
192,5451,4,PREPOSITION^NN,^PREPOSITION^NN^PREPOSITION^NN^PREPOSITION^NN
193,5451,5,NN,^NN^NN^NN
194,5451,6,yyCM,^yyCM
195,5451,7,CONJ^PREPOSITION^PRP,^CONJ^CC
196,5451,8,REL^NNT,^REL^NNT^REL^NNT^REL^NNT
197,5451,9,DEF^NN,^DEF^NN^DEF^NN^DEF^NN^DEF^NN
198,5451,10,VB,^VB^VB^VB
199,5451,11,PREPOSITION^DEF^NN,^PREPOSITION^DEF^NN
200,5451,12,PREPOSITION^NNT,^PREPOSITION^NNT^PREPOSITION^NNT^PREPOSITION^NNT
201,5451,13,NN,^NN^NN
202,5451,14,CONJ^PREPOSITION^NN,^CONJ^PREPOSITION^NN^CONJ^PREPOSITION^NN^CONJ^PREPOSITION^NN
203,5451,15,PREPOSITION^NNT,^PREPOSITION^NNT^PREPOSITION^NNT^PREPOSITION^NNT
204,5451,16,NN,^NN
205,5451,17,yyDOT,^yyDOT
206,5452,1,yyQUOT,^yyQUOT
207,5452,2,DEF^NN,^DEF^NN^DEF^NN^DEF^NN^DEF^NN
208,5452,3,COP,^COP
209,5452,4,REL^RB,^REL^RB^REL^RB
210,5452,5,VB,^VB^VB^VB
211,5452,6,PREPOSITION^DEF^NN,^PREPOSITION^DEF^NN^PREPOSITION^DEF^NN^PREPOSITION^DEF^NN^PREPOSITION^DEF^NN
212,5452,7,REL^VB,^REL^VB^REL^VB^REL^VB^REL^VB
213,5452,8,CONJ^VB,^CONJ^VB^CONJ^VB^CONJ^VB^CONJ^VB
214,5452,9,yyCM,^yyCM
215,5452,10,CONJ^PREPOSITION^DEF^NN,^CONJ^RB^CONJ^RB
216,5452,11,PRP,^PRP
217,5452,12,RB,^RB
218,5452,13,VB,^VB^VB^VB
219,5452,14,AT^S_PRN,^AT^S_PRN^AT^S_PRN^AT^S_PRN
220,5452,15,yyQUOT,^yyQUOT
221,5452,16,yyDOT,^yyDOT
222,5453,1,NNP,^NNP^NNP
223,5453,2,BN,^BN^BN
224,5453,3,RB,^RB^RB^RB
225,5453,4,RB,^RB
226,5453,5,PREPOSITION^DEF^NN,^PREPOSITION^DEF^NN^PREPOSITION^DEF^NN^PREPOSITION^DEF^NN
227,5453,6,DEF^JJ,^DEF^JJ^DEF^JJ^DEF^JJ
228,5453,7,POS,^POS
229,5453,8,NNT,^NNT^NNT^NNT
230,5453,9,DEF^NN,^DEF^NN^DEF^NN
231,5453,10,yyDOT,^yyDOT
232,5454,1,yyQUOT,^yyQUOT
233,5454,2,QW,^QW
234,5454,3,REL^VB,^REL^VB^REL^VB^REL^VB
235,5454,4,RB,^RB^RB^RB
236,5454,5,VB,^VB^VB^VB
237,5454,6,IN,^IN
238,5454,7,RB,^DTT
239,5454,8,yyQUOT,^yyQUOT
240,5454,9,yyCM,^yyCM
241,5454,10,PRP,^PRP
242,5454,11,BN,^BN^BN
243,5454,12,yyDOT,^yyDOT
244,5455,1,yyQUOT,^yyQUOT
245,5455,2,DEF^NN,^DEF^NN^DEF^NN^DEF^NN
246,5455,3,COP,^COP
247,5455,4,VB,^VB^VB^VB
248,5455,5,yyDOT,^yyDOT
249,5456,1,PREPOSITION^NN,^PREPOSITION^NN
250,5456,2,PRP,^PRP
251,5456,3,MD,^MD
252,5456,4,VB,^VB^VB^VB
253,5456,5,PREPOSITION^NN,^PREPOSITION^NN^PREPOSITION^NN^PREPOSITION^NN
254,5456,6,VB,^VB
255,5456,7,NN,^NN^NN
256,5456,8,JJ,^JJ^JJ^JJ
257,5456,9,PREPOSITION^NN,^PREPOSITION^NN^PREPOSITION^NN
258,5456,10,yyDOT,^yyDOT
259,5457,1,RB,^RB^RB
260,5457,2,DEF^NN,^DEF^NN^DEF^NN^DEF^NN^DEF^NN
261,5457,3,BN,^BN^BN^BN
262,5457,4,RB,^RB^RB^RB^RB^RB
263,5457,5,VB,^VB^VB
264,5457,6,IN^S_PRN,^IN^S_PRN^IN^S_PRN
265,5457,7,RB,^RB
266,5457,8,NN,^NN^NN
267,5457,9,JJ,^JJ^JJ^JJ
268,5457,10,yyCM,^yyCM
269,5457,11,CC,^CC
270,5457,12,MD,^MD
271,5457,13,IN^S_PRN,^IN^S_PRN^IN^S_PRN
272,5457,14,VB,^VB^VB^VB
273,5457,15,IN,^IN
274,5457,16,NN,^NN^NN^NN^NN^NN
275,5457,17,yyDOT,^yyDOT
276,5458,1,DEF^NN,^DEF^NN^DEF^NN^DEF^NN^DEF^NN
277,5458,2,DEF^JJ,^DEF^JJ^DEF^JJ^DEF^JJ^DEF^JJ
278,5458,3,VB,^VB^VB^VB
279,5458,4,VB,^VB^VB^VB
280,5458,5,PREPOSITION^DEF^NN,^PREPOSITION^DEF^NN^PREPOSITION^DEF^NN^PREPOSITION^DEF^NN
281,5458,6,TEMP^DEF^NN,^TEMP^DEF^NN^TEMP^DEF^NN^TEMP^DEF^NN^TEMP^DEF^NN
282,5458,7,COP,^COP
283,5458,8,MD,^MD^MD
284,5458,9,PREPOSITION^NN,^PREPOSITION^NN^PREPOSITION^NN^PREPOSITION^NN
285,5458,10,PREPOSITION^NN,^PREPOSITION^NN
286,5458,11,PRP,^PRP
287,5458,12,yyDOT,^yyDOT
288,5459,1,IN^S_PRN,^IN^S_PRN^IN^S_PRN
289,5459,2,MD,^MD
290,5459,3,REL^PRP,^REL^PRP
291,5459,4,VB,^VB^VB
292,5459,5,QW,^QW^QW
293,5459,6,DTT,^DTT
294,5459,7,PRP,^PRP
295,5459,8,VB,^VB^VB^VB
296,5459,9,yyQUOT,^yyQUOT
297,5459,10,yyDOT,^yyDOT
298,5460,1,yyQUOT,^yyQUOT
299,5460,2,EX,^EX
300,5460,3,NN,^NN^NN^NN
301,5460,4,JJ,^JJ^JJ^JJ
302,5460,5,IN^S_PRN,^IN^S_PRN^IN^S_PRN^IN^S_PRN
303,5460,6,IN,^IN
304,5460,7,DTT,^DTT
305,5460,8,NN,^NN^NN
306,5460,9,JJ,^JJ
307,5460,10,yyQUOT,^yyQUOT
308,5460,11,yyCM,^yyCM
309,5460,12,BN,^BN^BN
310,5460,13,NNP,^NNP^NNP
311,5460,14,NN,^NNP^NNP
312,5460,15,yyCM,^yyCM
313,5460,16,NN,^NN^NN^NN^NN
314,5460,17,PREPOSITION^NNT,^PREPOSITION^NN^PREPOSITION^NN
315,5460,18,NN,^JJ
316,5460,19,NNP,^NNP^NNP^NNP^NNP
317,5460,20,PREPOSITION^DEF^NN,^PREPOSITION^DEF^NN^PREPOSITION^DEF^NN^PREPOSITION^DEF^NN^PREPOSITION^DEF^NN
318,5460,21,DEF^JJ,^DEF^JJ^DEF^JJ^DEF^JJ
319,5460,22,yyDOT,^yyDOT
320,5461,1,yyQUOT,^yyQUOT
321,5461,2,PREPOSITION^NN,^PREPOSITION^NN
322,5461,3,POS,^POS
323,5461,4,NN,^NN
324,5461,5,yyCM,^yyCM
325,5461,6,PRP,^PRP^PRP^PRP
326,5461,7,BN,^BN^BN^BN^BN
327,5461,8,AT^S_PRN,^AT^S_PRN
328,5461,9,RB,^RB^RB
329,5461,10,yyQUOT,^yyQUOT
330,5461,11,yyDOT,^yyDOT
331,5462,1,NN,^NN^NN^NN
332,5462,2,PRP,^PRP
333,5462,3,BN,^BN^BN^BN^BN
334,5462,4,AT,^AT
335,5462,5,NNT,^NNT^NNT
336,5462,6,DEF^NN,^DEF^NN^DEF^NN^DEF^NN
337,5462,7,REL^BN,^REL^BN^REL^BN^REL^BN
338,5462,8,AT,^AT
339,5462,9,DEF^NN,^DEF^NN^DEF^NN^DEF^NN
340,5462,10,PREPOSITION^DEF^NN,^PREPOSITION^DEF^NN^PREPOSITION^DEF^NN^PREPOSITION^DEF^NN^PREPOSITION^DEF^NN
341,5462,11,yyDOT,^yyDOT
342,5463,1,JJ,^EX
343,5463,2,NN,^NN^NN
344,5463,3,REL^NNT,^REL^NNT^REL^NNT^REL^NNT^REL^NNT
345,5463,4,DEF^NN,^DEF^NN^DEF^NN^DEF^NN
346,5463,5,VB,^VB^VB^VB
347,5463,6,PREPOSITION^DEF^NN,^PREPOSITION^DEF^NN^PREPOSITION^DEF^NN^PREPOSITION^DEF^NN^PREPOSITION^DEF^NN
348,5463,7,yyCM,^yyCM
349,5463,8,RB,^RB
350,5463,9,RB,^RB
351,5463,10,PREPOSITION^DEF^BN,^PREPOSITION^NN^PREPOSITION^NN^PREPOSITION^NN^PREPOSITION^NN
352,5463,11,yyDOT,^yyDOT
353,5464,1,CC,^PRP
354,5464,2,yyCM,^yyCM
355,5464,3,CC,^CC
356,5464,4,yyCM,^yyCM
357,5464,5,BN,^BN^BN^BN
358,5464,6,VB,^VB^VB^VB
359,5464,7,PREPOSITION^NNT,^PREPOSITION^NNT^PREPOSITION^NNT^PREPOSITION^NNT
360,5464,8,DEF^NN,^DEF^NN^DEF^NN^DEF^NN^DEF^NN
361,5464,9,yyCM,^yyCM
362,5464,10,REL^BN,^REL^BN^REL^BN^REL^BN
363,5464,11,VB,^VB^VB^VB
364,5464,12,DTT,^DTT
365,5464,13,NN,^NN^NN
366,5464,14,CONJ^NN,^CONJ^NN^CONJ^NN^CONJ^NN
367,5464,15,PREPOSITION^DEF^NN,^PREPOSITION^DEF^NN^PREPOSITION^DEF^NN^PREPOSITION^DEF^NN^PREPOSITION^DEF^NN
368,5464,16,PREPOSITION^NNT,^PREPOSITION^NNT^PREPOSITION^NNT^PREPOSITION^NNT
369,5464,17,NN,^NN^NN
370,5464,18,yyCM,^yyCM
371,5464,19,PREPOSITION^NN,^PREPOSITION^NN^PREPOSITION^NN^PREPOSITION^NN^PREPOSITION^NN
372,5464,20,PREPOSITION^NNT,^PREPOSITION^NNT^PREPOSITION^NNT
373,5464,21,NN,^NN^NN
374,5464,22,PREPOSITION^DEF^NN,^PREPOSITION^DEF^NN^PREPOSITION^DEF^NN^PREPOSITION^DEF^NN
375,5464,23,yyDOT,^yyDOT
376,5465,1,NN,^NN^NN^NN
377,5465,2,POS,^POS
378,5465,3,NNT,^NNT^NNT
379,5465,4,DEF^NN,^DEF^NN
380,5465,5,DEF^JJ,^DEF^JJ^DEF^JJ^DEF^JJ
381,5465,6,yyCM,^yyCM
382,5465,7,NNP,^NNP^NNP
383,5465,8,NNP,^NNP^NNP^NNP
384,5465,9,yyQUOT,^yyQUOT
385,5465,10,VB,^VB^VB^VB
386,5465,11,NN,^NN^NN
387,5465,12,PREPOSITION^NN,^PREPOSITION^DEF^NN^PREPOSITION^DEF^NN^PREPOSITION^DEF^NN^PREPOSITION^DEF^NN
388,5465,13,REL^EX,^REL^EX
389,5465,14,IN^S_PRN,^IN^S_PRN
390,5465,15,NN,^NN^NN^NN^NN
391,5465,16,yyCM,^yyCM
392,5465,17,PRP,^PRP
393,5465,18,NNT,^NNT^NNT^NNT
394,5465,19,NN,^NN
395,5465,20,yyQUOT,^yyQUOT
396,5465,21,BN,^BN^BN^BN^BN
397,5465,22,NN,^NN^NN
398,5465,23,PREPOSITION^NN,^PREPOSITION^NN
399,5465,24,JJ,^JJ
400,5465,25,yyDOT,^yyDOT
401,5466,1,RB,^RB
402,5466,2,yyCM,^yyCM
403,5466,3,IN,^IN
404,5466,4,NN,^NN^NN^NN^NN
405,5466,5,PREPOSITION^NNT,^PREPOSITION^NNT^PREPOSITION^NNT^PREPOSITION^NNT^PREPOSITION^NNT
406,5466,6,NN,^NN^NN
407,5466,7,yyCM,^yyCM
408,5466,8,IN,^IN
409,5466,9,NNT,^NNT^NNT^NNT
410,5466,10,NN,^NN
411,5466,11,PREPOSITION^NNT,^PREPOSITION^NNT^PREPOSITION^NNT^PREPOSITION^NNT^PREPOSITION^NNT
412,5466,12,DEF^NN,^DEF^NN^DEF^NN
413,5466,13,yyCM,^yyCM
414,5466,14,BN,^BN^BN^BN^BN
415,5466,15,DEF^NN,^DEF^NN
416,5466,16,DEF^JJ,^DEF^JJ^DEF^JJ^DEF^JJ^DEF^JJ
417,5466,17,PREPOSITION^NNT,^PREPOSITION^NNT^PREPOSITION^NNT^PREPOSITION^NNT
418,5466,18,DEF^NN,^DEF^NN^DEF^NN
419,5466,19,yyDOT,^yyDOT
420,5467,1,IN,^IN
421,5467,2,NN,^NN
422,5467,3,PREPOSITION^NN,^PREPOSITION^NN^PREPOSITION^NN^PREPOSITION^NN^PREPOSITION^NN
423,5467,4,yyCM,^yyCM
424,5467,5,MD,^MD
425,5467,6,VB,^VB^VB
426,5467,7,IN,^IN
427,5467,8,NN,^NN^NN
428,5467,9,AT,^AT
429,5467,10,NNT,^NNT^NNT^NNT
430,5467,11,DEF^NN,^DEF^NN
431,5467,12,POS,^POS
432,5467,13,NNT,^NNT^NNT^NNT
433,5467,14,NNP,^NNP^NNP^NNP
434,5467,15,yyCLN,^yyCLN
435,5467,16,yyQUOT,^yyQUOT
436,5467,17,CC,^CC
437,5467,18,IN,^IN
438,5467,19,NNP,^NNP
439,5467,20,PREPOSITION^NNP,^PREPOSITION^NN^PREPOSITION^NN^PREPOSITION^NN^PREPOSITION^NN
440,5467,21,EX,^EX
441,5467,22,DTT,^DTT
442,5467,23,NN,^NN^NN^NN
443,5467,24,REL^EX,^REL^EX
444,5467,25,IN^S_PRN,^IN^S_PRN
445,5467,26,NN,^NN^NN
446,5467,27,yyCM,^yyCM
447,5467,28,PRP,^PRP
448,5467,29,NN,^NN^NN
449,5467,30,VB,^VB^VB^VB^VB
450,5467,31,yyQUOT,^yyQUOT
451,5467,32,yyDOT,^yyDOT
452,5468,1,NNP,^NNP^NNP^NNP
453,5468,2,yyLRB,^yyLRB
454,5468,3,NN,^NN
455,5468,4,yyDASH,^yyDASH
456,5468,5,NNP,^NN
457,5468,6,yyRRB,^yyRRB
458,5468,7,yyDOT,^yyDOT
459,5469,1,NNP,^NNP^NNP^NNP
460,5469,2,NNP,^NNP^NNP^NNP^NNP
461,5469,3,BN,^BN^BN
462,5469,4,VB,^VB^VB^VB
463,5469,5,NN,^NNP^NNP
464,5469,6,yyDOT,^yyDOT
465,5470,1,NNP,^NNP^NNP^yyDOT^IN^S_PRN^IN^S_PRN
466,5470,2,IN,^IN^S_PRN
467,5470,3,NN,^NN^NN
468,5470,4,CONJ^PREPOSITION^NN,^CONJ^PREPOSITION^NN^CONJ^PREPOSITION^NN^CONJ^PREPOSITION^NN^CONJ^PREPOSITION^NN
469,5470,5,yyDOT,^yyDOT
470,5471,1,NN,^RB
471,5471,2,PREPOSITION^RB,^PREPOSITION^RB^PREPOSITION^RB^PREPOSITION^RB^PREPOSITION^RB
472,5471,3,VB,^VB^VB
473,5471,4,NNT,^NNT^NNT^NNT
474,5471,5,DEF^NNP,^DEF^NNP^DEF^NNP^DEF^NNP^DEF^NNP^DEF^NNP
475,5471,6,NN,^NN
476,5471,7,REL^RB,^REL^RB^REL^RB^REL^RB^REL^RB
477,5471,8,VB,^VB^VB^VB
478,5471,9,RB,^RB
479,5471,10,VB^DUMMY_AT^S_ANP,^VB^AT^S_PRN^VB^AT^S_PRN^VB^AT^S_PRN
480,5471,11,yyCLN,^yyCLN
481,5471,12,NNT,^NNT^NNT^NNT
482,5471,13,CD,^CD
483,5471,14,NN,^NN
484,5471,15,PREPOSITION^DEF^NN,^PREPOSITION^DEF^NN^PREPOSITION^DEF^NN
485,5471,16,DEF^JJ,^DEF^CD
486,5471,17,IN,^IN
487,5471,18,NNP,^NNP^NNP^NNP
488,5471,19,NNP,^NNP^NNP^NNP
489,5471,20,yyCM,^yyCM
490,5471,21,REL^VB,^REL^VB^REL^VB^REL^VB
491,5471,22,NN,^NN
492,5471,23,PREPOSITION^DEF^NN,^PREPOSITION^DEF^NN^PREPOSITION^DEF^NN^PREPOSITION^DEF^NN
493,5471,24,REL^VB,^REL^VB^REL^VB
494,5471,25,yyLRB,^yyLRB
495,5471,26,NNP,^NNP^NNP^NNP
496,5471,27,NNP,^NNP
497,5471,28,NNP,^NNP^NNP^NNP^NNP
498,5471,29,CD,^CD
499,5471,30,CD,^CD
500,5471,31,yyRRB,^yyRRB
501,5471,32,yyDOT,^yyDOT
502,5472,1,NNP,^NNP^NNP^NNP
503,5472,2,VB,^VB^VB^VB^VB
504,5472,3,PREPOSITION^DEF^NN,^PREPOSITION^DEF^NN^PREPOSITION^DEF^NN
505,5472,4,CD,^CD
506,5472,5,CD,^CD
507,5472,6,CONJ^VB,^CONJ^VB^CONJ^VB^CONJ^VB^CONJ^VB
508,5472,7,NN,^NN
509,5472,8,JJ,^JJ^JJ
510,5472,9,POS,^POS
511,5472,10,NNP,^NNP^NNP
512,5472,11,NNP,^NNP^NNP^NNP^NNP
513,5472,12,PREPOSITION^NNT,^PREPOSITION^NNT^PREPOSITION^NNT^PREPOSITION^NNT^PREPOSITION^NNT
514,5472,13,NN,^NN
515,5472,14,yyLRB,^yyLRB
516,5472,15,IN,^IN
517,5472,16,NN,^NN^NN^NN
518,5472,17,yyRRB,^yyRRB
519,5472,18,IN,^PREPOSITION
520,5472,19,yyDASH,^yyDASH
521,5472,20,CD,^CD
522,5472,21,yyDOT,^yyDOT
523,5473,1,RB,^RB
524,5473,2,IN^DEF^NN,^PREPOSITION^DEF^NN^PREPOSITION^DEF^NN
525,5473,3,DEF^CD,^DEF^CD
526,5473,4,VB,^VB^VB
527,5473,5,DEF^NNP,^DEF^NN^DEF^NN^DEF^NN^DEF^NN
528,5473,6,NN,^NN
529,5473,7,yyCLN,^yyCLN
530,5473,8,CD,^CD
531,5473,9,NN,^NN
532,5473,10,yyDOT,^yyDOT
533,5474,1,PREPOSITION^NNT,^PREPOSITION^NNT^PREPOSITION^NNT
534,5474,2,NNP,^NNP^NNP^NNP
535,5474,3,yyCM,^yyCM
536,5474,4,NNP,^NNP^NNP
537,5474,5,NNP,^NNP^NNP^NNP^NNP^NNP
538,5474,6,yyCM,^yyCM
539,5474,7,COP,^COP
540,5474,8,PRP,^PRP
541,5474,9,DEF^NN,^DEF^NN^DEF^NN^DEF^NN
